date,close,index
2011-09-29,26.920001983642578,EEM (Emerging Markets)
2011-09-30,25.572175979614258,EEM (Emerging Markets)
2011-10-03,25.033048629760742,EEM (Emerging Markets)
2011-10-04,25.419179916381836,EEM (Emerging Markets)
2011-10-05,26.009307861328125,EEM (Emerging Markets)
2011-10-06,26.86899757385254,EEM (Emerging Markets)
2011-10-07,26.548431396484375,EEM (Emerging Markets)
2011-10-10,27.735980987548828,EEM (Emerging Markets)
2011-10-11,27.750551223754883,EEM (Emerging Markets)
2011-10-12,28.530094146728516,EEM (Emerging Markets)
2011-10-13,28.275104522705078,EEM (Emerging Markets)
2011-10-14,28.843372344970703,EEM (Emerging Markets)
2011-10-17,27.86712074279785,EEM (Emerging Markets)
2011-10-18,28.610239028930664,EEM (Emerging Markets)
2011-10-19,28.06382179260254,EEM (Emerging Markets)
2011-10-20,27.524703979492188,EEM (Emerging Markets)
2011-10-21,28.31153678894043,EEM (Emerging Markets)
2011-10-24,29.418930053710938,EEM (Emerging Markets)
2011-10-25,28.836090087890625,EEM (Emerging Markets)
2011-10-26,29.36794090270996,EEM (Emerging Markets)
2011-10-27,31.15288543701172,EEM (Emerging Markets)
2011-10-28,30.890602111816406,EEM (Emerging Markets)
2011-10-31,29.732208251953125,EEM (Emerging Markets)
2011-11-01,29.010936737060547,EEM (Emerging Markets)
2011-11-02,29.899776458740234,EEM (Emerging Markets)
2011-11-03,30.205772399902344,EEM (Emerging Markets)
2011-11-04,30.009056091308594,EEM (Emerging Markets)
2011-11-07,30.264053344726562,EEM (Emerging Markets)
2011-11-08,30.62103843688965,EEM (Emerging Markets)
2011-11-09,28.82880401611328,EEM (Emerging Markets)
2011-11-10,29.01822853088379,EEM (Emerging Markets)
2011-11-11,29.717639923095703,EEM (Emerging Markets)
2011-11-14,29.30965232849121,EEM (Emerging Markets)
2011-11-15,29.491788864135742,EEM (Emerging Markets)
2011-11-16,28.697664260864258,EEM (Emerging Markets)
2011-11-17,27.9691104888916,EEM (Emerging Markets)
2011-11-18,28.078401565551758,EEM (Emerging Markets)
2011-11-21,27.17498779296875,EEM (Emerging Markets)
2011-11-22,27.26970100402832,EEM (Emerging Markets)
2011-11-23,26.388151168823242,EEM (Emerging Markets)
2011-11-25,26.300737380981445,EEM (Emerging Markets)
2011-11-28,27.561132431030273,EEM (Emerging Markets)
2011-11-29,27.437271118164062,EEM (Emerging Markets)
2011-11-30,29.14936065673828,EEM (Emerging Markets)
2011-12-01,29.061939239501953,EEM (Emerging Markets)
2011-12-02,28.974517822265625,EEM (Emerging Markets)
2011-12-05,29.448078155517578,EEM (Emerging Markets)
2011-12-06,29.047378540039062,EEM (Emerging Markets)
2011-12-07,29.163942337036133,EEM (Emerging Markets)
2011-12-08,28.114822387695312,EEM (Emerging Markets)
2011-12-09,28.683094024658203,EEM (Emerging Markets)
2011-12-12,27.604841232299805,EEM (Emerging Markets)
2011-12-13,27.349842071533203,EEM (Emerging Markets)
2011-12-14,26.9564266204834,EEM (Emerging Markets)
2011-12-15,27.131275177001953,EEM (Emerging Markets)
2011-12-16,27.335269927978516,EEM (Emerging Markets)
2011-12-19,26.628578186035156,EEM (Emerging Markets)
2011-12-20,27.744386672973633,EEM (Emerging Markets)
2011-12-21,27.8326473236084,EEM (Emerging Markets)
